station_id,direction,mean,std
95,승차,225.30194063926942,199.03658423522668
95,하차,190.5675799086758,161.21043169476494
96,승차,142.3970319634703,113.96663350340108
96,하차,158.8236301369863,124.55507505084928
97,승차,199.99497716894976,174.9599950291491
97,하차,208.60764840182648,173.35189728737765
98,승차,138.66780821917808,122.6349199439937
98,하차,133.39486301369863,102.81959365761615
99,승차,165.1216894977169,140.0816270277213
99,하차,153.37522831050228,133.4353958527161
100,승차,168.1521689497717,154.18573918835463
100,하차,153.24349315068494,134.45749292088507
101,승차,258.9203196347032,225.23496589101666
101,하차,267.2607305936073,217.78971751716756
102,승차,800.7738584474886,638.1711277454374
102,하차,735.8187214611872,531.6244183825052
103,승차,266.3623287671233,224.49814029990415
103,하차,281.69166666666666,237.38098818799102
104,승차,189.18013698630136,174.4828110998777
104,하차,170.36004566210045,142.6150386671136
105,승차,366.0254566210046,300.8754052973819
105,하차,365.5803652968037,303.2420449141659
106,승차,165.03424657534248,153.338190683964
106,하차,163.13732876712328,133.71045110595355
107,승차,142.39680365296803,124.03903329170605
107,하차,150.14474885844749,117.98860025822326
108,승차,276.85068493150686,222.4176683945165
108,하차,243.05799086757992,194.8133888717354
109,승차,365.8159817351598,369.9562350672264
109,하차,356.4390410958904,370.9902048547628
110,승차,742.3869863013699,659.8708921139141
110,하차,754.4835616438356,673.804675806414
111,승차,765.1641552511416,673.987842318531
111,하차,801.8827625570776,664.1074426273391
112,승차,376.52853881278537,550.9542555592407
112,하차,377.84942922374427,702.8962220906044
113,승차,999.9276255707763,841.5864283714833
113,하차,1025.0780821917808,846.9768337381599
114,승차,257.91118721461186,260.24793541383195
114,하차,261.6504566210046,324.4865890743657
115,승차,299.50958904109586,271.90433642966553
115,하차,284.1445205479452,289.0867533020043
116,승차,179.83219178082192,155.7825068547047
116,하차,162.11746575342465,128.60912447774194
117,승차,604.3547945205479,565.4330802576405
117,하차,617.7586757990867,579.7902004544896
118,승차,423.786301369863,385.86399214116625
118,하차,421.51940639269407,449.79328873575315
119,승차,1467.0982876712328,1177.301333074423
119,하차,1670.1752283105022,1483.499456450917
120,승차,691.4955479452054,603.8451051744014
120,하차,731.8627853881278,648.3415509187981
121,승차,522.525799086758,446.6066026064273
121,하차,526.1176940639269,462.95251769542483
122,승차,616.821803652968,551.1910420951062
122,하차,599.5536529680365,561.2953571853625
123,승차,714.0204337899544,581.6419151221103
123,하차,742.8877853881279,645.258491548027
124,승차,572.2425799086758,520.6425313518031
124,하차,555.3892694063927,480.9889399795122
125,승차,669.7607305936073,469.8770757542515
125,하차,755.1672374429223,619.9813335725819
126,승차,423.6584474885845,369.47287025988123
126,하차,437.9970319634703,369.3768331692706
127,승차,654.1293378995434,551.442686065874
127,하차,657.5179223744292,525.437270336204
128,승차,600.1730593607306,459.7442718335185
128,하차,604.7319634703197,515.4151540120822
129,승차,438.7747716894977,351.6679536929525
129,하차,442.9711187214612,332.06987837002026
130,승차,397.996803652968,325.69476090614455
130,하차,376.6752283105023,303.16742769284895
131,승차,287.9018264840183,253.01913094132968
131,하차,251.20924657534246,197.372734398497
132,승차,223.84554794520548,185.66728120794667
132,하차,217.6200913242009,165.10683061902623
133,승차,345.98002283105023,304.91420235241384
133,하차,277.4043378995434,213.24387093486249
134,승차,458.89600456621,386.77977416713367
134,하차,439.68367579908676,333.3298898134487
201,승차,624.2134703196347,477.045166833105
201,하차,604.7454337899543,467.85217731110845
202,승차,330.3995433789954,263.56032850776427
202,하차,302.0383561643836,231.63126503151327
203,승차,601.452397260274,479.7470249178535
203,하차,631.0174657534246,488.64310640312294
204,승차,281.66917808219176,227.6470166853515
204,하차,288.51609589041095,229.98846666171346
205,승차,448.6415525114155,376.9985045249847
205,하차,418.9656392694064,314.8077463927505
206,승차,870.816894977169,947.0107730665447
206,하차,859.0561643835616,864.5137165018043
207,승차,151.84920091324202,140.66089573605333
207,하차,145.23207762557078,127.77139560072956
208,승차,648.3102739726028,531.0765383707611
208,하차,629.1372146118722,527.1962813435383
209,승차,462.00399543378995,387.19078184809683
209,하차,500.77910958904107,513.5737018247385
210,승차,327.4896118721461,275.1484542689538
210,하차,364.4988584474886,381.0701903966925
211,승차,326.1974885844749,291.58463959667233
211,하차,334.37511415525114,297.068197220905
212,승차,664.4347031963471,568.265956334438
212,하차,679.1541095890411,619.596543848861
213,승차,413.81426940639267,332.20731590974515
213,하차,403.190296803653,320.3103900124168
214,승차,212.038698630137,191.60273228531784
214,하차,217.7033105022831,179.48269588248934
215,승차,113.55079908675799,100.69590793305007
215,하차,112.28173515981734,96.74862509735605
216,승차,212.7329908675799,185.16039536961094
216,하차,199.35947488584475,172.63407982829563
217,승차,203.7439497716895,262.2317625316121
217,하차,213.4296803652968,332.68003960980025
218,승차,395.7678082191781,297.40814155403234
218,하차,487.4707762557078,454.30147423468173
219,승차,1019.5114155251141,831.2391175055083
219,하차,1026.0158675799087,877.8967731114931
220,승차,260.55308219178085,231.3129694611581
220,하차,237.54988584474887,207.35537966595228
221,승차,149.40696347031962,138.51002024355284
221,하차,140.75867579908675,118.9238593778991
222,승차,271.9944063926941,261.1829882331173
222,하차,247.39760273972604,236.199696499145
223,승차,339.2526255707763,308.1902238206757
223,하차,326.8763698630137,279.039716300459
224,승차,237.35011415525113,218.09576594613492
224,하차,219.28184931506848,204.69655785698404
